name	industry	location
上海新阳	染料涂料	上海
索菲亚	家居用品	广东
同力水泥	水泥	河南
环旭电子	元器件	上海
燕塘乳业	乳制品	广东
赛为智能	软件服务	深圳
汇鸿集团	商贸代理	江苏
中兵红箭	矿物制品	湖南
黄河旋风	矿物制品	河南
国机通用	塑料	安徽
星网宇达	通信设备	北京
中核钛白	化工原料	甘肃
远 望 谷	通信设备	深圳
中大力德	机械基件	浙江
三元达	通信设备	福建
涪陵榨菜	食品	重庆
振芯科技	通信设备	四川
思创医惠	元器件	浙江
中富通	通信设备	福建
康拓红外	运输设备	北京
安洁科技	电脑设备	江苏
诚志股份	化工原料	江西
波导股份	通信设备	浙江
东软集团	软件服务	辽宁
天孚通信	通信设备	江苏
航天信息	电脑设备	北京
无锡银行	银行	江苏
信立泰	化学制药	深圳
中远海控	水运	天津
康欣新材	其他建材	山东
中利集团	电气设备	江苏
奥马电器	家用电器	广东
市北高新	园区开发	上海
小康股份	汽车配件	重庆
南极电商	互联网	江苏
卫 士 通	软件服务	四川
太平洋	证券	云南
中国电建	建筑施工	北京
寿仙谷	中成药	浙江
佳都科技	软件服务	广东
鹏博士	电信运营	四川
广晟有色	小金属	海南
英搏尔	元器件	广东
东方通	软件服务	北京
游族网络	互联网	福建
中储股份	仓储物流	天津
城投控股	区域地产	上海
楚江新材	铜	安徽
大同煤业	煤炭开采	山西
华灿光电	半导体	湖北
东旭蓝天	全国地产	深圳
天士力	中成药	天津
西藏天路	建筑施工	西藏
茂硕电源	电气设备	深圳
天地科技	工程机械	北京
科泰电源	电气设备	上海
贝瑞基因	医疗保健	四川
合力泰	元器件	山东
东方网力	电脑设备	北京
建发股份	商贸代理	福建
掌趣科技	互联网	北京
北京银行	银行	北京
智慧农业	机械基件	江苏
智飞生物	生物制药	重庆
英洛华	矿物制品	山西
启明星辰	软件服务	北京
三圣股份	其他建材	重庆
天原集团	化工原料	四川
恒源煤电	煤炭开采	安徽
南京银行	银行	江苏
广汽集团	汽车整车	广东
恺英网络	互联网	福建
捷捷微电	半导体	江苏
创新股份	广告包装	云南
富煌钢构	钢加工	安徽
张家港行	银行	江苏
奥维通信	通信设备	辽宁
中国中冶	建筑施工	北京
苏州固锝	半导体	江苏
积成电子	电气设备	山东
翔鹭钨业	小金属	广东
韩建河山	其他建材	北京
海信电器	家用电器	山东
潮宏基	服饰	广东
牧原股份	农业综合	河南
康美药业	中成药	广东
爱尔眼科	医疗保健	湖南
通光线缆	电气设备	江苏
哈工智能	化纤	江苏
景嘉微	元器件	湖南
三花智控	机械基件	浙江
永安药业	化学制药	湖北
丰元股份	化工原料	山东
兰花科创	煤炭开采	山西
湘电股份	电气设备	湖南
旭光股份	元器件	四川
长青股份	农药化肥	江苏
超图软件	软件服务	北京
东方网络	电器仪表	广西
中国中铁	建筑施工	北京
龙元建设	建筑施工	浙江
银江股份	软件服务	浙江
雷科防务	通信设备	江苏
新黄浦	区域地产	上海
威华股份	家居用品	广东
太阳鸟	船舶	湖南
特锐德	电气设备	山东
欣旺达	元器件	深圳
华谊兄弟	影视音像	浙江
赢时胜	软件服务	深圳
吉比特	互联网	福建
晨化股份	化工原料	江苏
思源电气	电气设备	上海
兄弟科技	化工原料	浙江
江苏国泰	商贸代理	江苏
科力远	元器件	湖南
明家联合	互联网	广东
青山纸业	造纸	福建
海兰信	软件服务	北京
东方雨虹	其他建材	北京
万里扬	汽车配件	浙江
金力泰	染料涂料	上海
铜陵有色	铜	安徽
科达利	机械基件	深圳
山大华特	化学制药	山东
海天味业	食品	广东
天业股份	区域地产	山东
物产中大	商贸代理	浙江
赛轮金宇	汽车配件	山东
天坛生物	生物制药	北京
晶盛机电	专用机械	浙江
欧浦智网	仓储物流	广东
GQY视讯	电脑设备	浙江
西藏珠峰	铅锌	西藏
威创股份	电脑设备	广东
天虹股份	百货	深圳
路通视信	通信设备	江苏
亚太股份	汽车配件	浙江
艾比森	半导体	深圳
宁波银行	银行	浙江
摩恩电气	电气设备	上海
中际装备	电气设备	山东
博云新材	矿物制品	湖南
健康元	化学制药	深圳
中国化学	建筑施工	北京
天润数娱	互联网	湖南
旋极信息	软件服务	北京
东土科技	通信设备	北京
南都电源	电气设备	浙江
申万宏源	证券	新疆
天山股份	水泥	新疆
佛塑科技	塑料	广东
中国医药	医药商业	北京
金种子酒	白酒	安徽
鸣志电器	电气设备	上海
坤彩科技	染料涂料	福建
兴化股份	化工原料	陕西
航发控制	航空	江苏
皖通科技	软件服务	安徽
金洲管道	钢加工	浙江
电连技术	元器件	深圳
吉林敖东	中成药	吉林
永太科技	化工原料	浙江
杰瑞股份	化工机械	山东
伊力特	白酒	新疆
宁夏建材	水泥	宁夏
本钢板材	钢加工	辽宁
华泰股份	造纸	山东
音飞储存	专用机械	江苏
晶瑞股份	化工原料	江苏
中国动力	电气设备	河北
红墙股份	化工原料	广东
海德股份	区域地产	海南
中国石油	石油开采	北京
中马传动	汽车配件	浙江
兴业矿业	铅锌	内蒙
南方汇通	环境保护	贵州
昭衍新药	医疗保健	北京
金风科技	电气设备	新疆
好想你	食品	河南
恒泰实达	软件服务	北京
晶方科技	半导体	江苏
联创光电	元器件	江西
海普瑞	化学制药	深圳
鹏起科技	综合类	上海
迈克生物	医疗保健	四川
白云电器	电气设备	广东
中色股份	铅锌	北京
万年青	水泥	江西
圣农发展	农业综合	福建
大西洋	钢加工	四川
美都能源	综合类	浙江
联络互动	软件服务	浙江
中矿资源	建筑施工	北京
华策影视	影视音像	浙江
上峰水泥	水泥	甘肃
奥联电子	汽车配件	江苏
万达信息	软件服务	上海
石化机械	化工机械	湖北
汉钟精机	工程机械	上海
北化股份	化工原料	四川
润欣科技	通信设备	上海
顺网科技	互联网	浙江
江阴银行	银行	江苏
慈文传媒	影视音像	浙江
长川科技	专用机械	浙江
锦江股份	酒店餐饮	上海
新潮能源	综合类	山东
海能达	通信设备	深圳
华联控股	全国地产	深圳
湖南天雁	汽车配件	湖南
长江证券	证券	湖北
百川股份	化工原料	江苏
滨化股份	化工原料	山东
新兴铸管	钢加工	河北
东方锆业	小金属	广东
张 裕Ａ	红黄药酒	山东
鄂武商Ａ	百货	湖北
中南传媒	出版业	湖南
云天化	农药化肥	云南
东方航空	空运	上海
宝鹰股份	装修装饰	深圳
达安基因	生物制药	广东
华英农业	农业综合	河南
白云机场	机场	广东
长缆科技	电气设备	湖南
东北证券	证券	吉林
碳元科技	元器件	江苏
东方国信	软件服务	北京
兆丰股份	汽车配件	浙江
江山化工	化工原料	浙江
正泰电器	电气设备	浙江
旭升股份	汽车配件	浙江
中材节能	环境保护	天津
澄天伟业	元器件	深圳
许继电气	电气设备	河南
综艺股份	综合类	江苏
天和防务	通信设备	陕西
银龙股份	其他建材	天津
合肥百货	百货	安徽
华润三九	中成药	深圳
宏创控股	铝	山东
中航资本	多元金融	黑龙江
延华智能	建筑施工	上海
康泰生物	生物制药	深圳
弘亚数控	专用机械	广东
石大胜华	化工原料	山东
红 太 阳	农药化肥	江苏
新 华 都	超市连锁	福建
六国化工	农药化肥	安徽
正裕工业	汽车配件	浙江
银禧科技	塑料	广东
新晨科技	软件服务	北京
联合光电	元器件	广东
会畅通讯	通信设备	上海
常熟银行	银行	江苏
新宏泰	电气设备	江苏
圣邦股份	元器件	北京
嘉寓股份	装修装饰	北京
三六五网	互联网	江苏
生 意 宝	互联网	浙江
神州高铁	运输设备	北京
建研集团	其他建材	福建
法拉电子	元器件	福建
美丽生态	建筑施工	深圳
中信银行	银行	北京
卫信康	化学制药	西藏
海量数据	软件服务	北京
深科技	电脑设备	深圳
上海莱士	生物制药	上海
国星光电	半导体	广东
景旺电子	元器件	深圳
南风化工	日用化工	山西
基蛋生物	生物制药	江苏
中房地产	全国地产	重庆
金贵银业	小金属	湖南
巨力索具	机械基件	河北
智动力	元器件	深圳
金科文化	化工原料	浙江
蓝思科技	元器件	湖南
云海金属	小金属	江苏
怡 亚 通	仓储物流	深圳
杭州银行	银行	浙江
思美传媒	广告包装	浙江
冀中能源	煤炭开采	河北
瑞特股份	电气设备	江苏
恒为科技	电脑设备	上海
量子高科	食品	广东
田中精机	专用机械	浙江
生物股份	生物制药	内蒙
利德曼	生物制药	北京
光库科技	元器件	广东
华帝股份	家用电器	广东
海航控股	空运	海南
天房发展	区域地产	天津
汇顶科技	元器件	深圳
顺鑫农业	白酒	北京
广生堂	化学制药	福建
广电运通	电脑设备	广东
隧道股份	建筑施工	上海
大烨智能	电气设备	江苏
英科医疗	医疗保健	山东
鹏辉能源	电气设备	广东
金钼股份	小金属	陕西
拓邦股份	元器件	深圳
澳洋顺昌	仓储物流	江苏
中体产业	文教休闲	天津
金冠电气	电气设备	吉林
泰豪科技	电气设备	江西
台海核电	专用机械	四川
江苏国信	火力发电	江苏
远光软件	软件服务	广东
君正集团	化工原料	内蒙
沃特股份	塑料	深圳
中珠医疗	区域地产	湖北
新宁物流	仓储物流	江苏
依顿电子	元器件	广东
锦富技术	元器件	江苏
东兴证券	证券	北京
吉艾科技	专用机械	北京
电科院	电气设备	江苏
华锦股份	石油加工	辽宁
中原特钢	特种钢	河南
美盈森	造纸	深圳
至正股份	塑料	上海
晨光文具	文教休闲	上海
国栋建设	其他建材	四川
盾安环境	工程机械	浙江
兴蓉环境	水务	四川
路畅科技	汽车配件	深圳
中集集团	轻工机械	深圳
XD爱建集	多元金融	上海
闻泰科技	通信设备	湖北
中远海特	水运	广东
中铁工业	建筑施工	四川
林洋能源	电器仪表	江苏
奥 特 迅	电气设备	深圳
美联新材	化工原料	广东
金圆股份	水泥	吉林
易联众	软件服务	福建
九阳股份	家用电器	山东
南国置业	区域地产	湖北
英威腾	电气设备	深圳
天茂集团	保险	湖北
神宇股份	通信设备	江苏
科陆电子	电器仪表	深圳
洛阳玻璃	玻璃	河南
东软载波	软件服务	山东
中钨高新	小金属	海南
齐翔腾达	化工原料	山东
嘉宝集团	区域地产	上海
华力创通	电脑设备	北京
丽珠集团	中成药	广东
龙溪股份	机械基件	福建
江化微	化工原料	江苏
中国重汽	汽车整车	山东
三七互娱	互联网	安徽
双一科技	矿物制品	山东
华东科技	元器件	江苏
欣龙控股	纺织	海南
平治信息	互联网	浙江
道森股份	专用机械	江苏
伟隆股份	机械基件	山东
中国核建	建筑施工	北京
鲁信创投	矿物制品	山东
飞凯材料	染料涂料	上海
苏垦农发	种植业	江苏
苏交科	建筑施工	江苏
恒通科技	其他建材	北京
隆鑫通用	摩托车	重庆
至纯科技	专用机械	上海
远大控股	商贸代理	江苏
